URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author,byline,excerpt,lang
https://www.bbc.co.uk/sounds/play/w3ct4nzl,1,gender-,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",HARDtalk - Sir Nicholas Winton: A Holocaust hero - BBC Sounds,,,,,A 2014 interview with a man who saved more than 600 children from Nazi persecution,en-GB
https://www.bbc.co.uk/news/articles/cd10kpex10go,1.3035662510872716,gender-,webpage,Wales' all-time top scorer says it was a shame she received backlash after being compared with men.,Fishlock disappointed by negativity after breaking Wales goal record - BBC News,,,,Jack Grey,Wales' all-time top scorer says it was a shame she received backlash after being compared with men.,en-GB
https://www.bbc.co.uk/sport/55760311,5.666036844591403,"gender-, trans woman, trans man, intersex, transgender",webpage,Long read: BBC Sport looks at the stories of six LGBT+ sportspeople who were trailblazers of their time.,LGBT+ History Month: Six LGBT+ sportspeople you should know more about,2021-02-01T06:22:23.000Z,2021-02-01T06:22:23.000Z,Miriam Walker-Khan,Miriam Walker-Khan,Long read: BBC Sport looks at the stories of six LGBT+ sportspeople who were trailblazers of their time.,en-GB
https://www.bbc.co.uk/sport/football/55950480,3,"Sex rights, transgender",webpage,BBC Sport looks at the life and legacy of Eudy Simelane - an openly gay South Africa international footballer who was raped and murdered in 2008.,LGBT+ History Month: Eudy Simelane - the international footballer murdered for being gay,2021-02-12T06:06:46.000Z,2021-02-12T06:06:46.000Z,Keely Watson,Keely Watson,BBC Sport looks at the life and legacy of Eudy Simelane - an openly gay South Africa international footballer who was raped and murdered in 2008.,en-GB
https://www.bbc.co.uk/sport/tennis/55971595,1,gender-,webpage,"Billie Jean King and Martina Navratilova have had a ""huge impact"" on support for LGBT+ people in women's tennis, say couple Greet Minnen and Alison van Uytvanck.",LGBT+ History Month: Billie Jean King & Martina Navratilova had 'huge impact' - Greet Minnen & Alison van Uytvanck,2021-02-08T00:08:24.000Z,2021-02-08T00:08:24.000Z,BBC Sport,BBC Sport,"Billie Jean King and Martina Navratilova have had a ""huge impact"" on support for LGBT+ people in women's tennis, say couple Greet Minnen and Alison van Uytvanck.",en-GB
https://www.bbc.co.uk/sport/american-football/56100701,2,"intersectionality, gender-",webpage,Ryan Russell tells BBC Sport about coming out as bisexual in 2019 and his hopes to be the first openly gay or bi man to play an NFL game.,LGBT+ History Month: NFL player Ryan Russell on his decision to come out as bisexual,2021-02-18T06:18:14.000Z,2021-02-18T06:18:14.000Z,Nesta McGregor,Nesta McGregor,Ryan Russell tells BBC Sport about coming out as bisexual in 2019 and his hopes to be the first openly gay or bi man to play an NFL game.,en-GB
https://www.bbc.co.uk/sport/tennis/55885930,5.691699604743083,"transgender, gender-",webpage,"As part of LGBT+ History Month, BBC Sport explores the story of transgender tennis player Renee Richards, who won a legal challenge to play at the 1977 US Open as a woman.",LGBT+ History Month: Renee Richards' journey from tennis outcast to trans pioneer,2021-02-26T06:00:09.000Z,2021-02-26T06:00:09.000Z,Jonathan Jurejko,Jonathan Jurejko,"As part of LGBT+ History Month, BBC Sport explores the story of transgender tennis player Renee Richards, who won a legal challenge to play at the 1977 US Open as a woman.",en-GB
https://www.bbc.co.uk/sport/get-inspired/23178240,8.562902152207677,gender-,webpage,"How to get into rugby league - a crowd-pleasing, physically demanding game with few stoppages and plenty of pace.",Get Inspired: How to get into rugby league,2013-07-19T08:02:19.000Z,2019-05-21T10:03:10.000Z,BBC Sport,BBC Sport,"How to get into rugby league - a crowd-pleasing, physically demanding game with few stoppages and plenty of pace.",en-GB
https://www.bbc.co.uk/iplayer/episode/b07k1c7l/serena,1,gender-,webpage,An intimate look into the life of the tennis champion and international superstar Serena Williams during her 2015-2016 season.,Serena - BBC iPlayer,,,,,An intimate look into the life of the tennis champion and international superstar Serena Williams during her 2015-2016 season.,gd-GB
https://www.bbc.co.uk/iplayer/episode/m001k4mw/bend-it-like-bollywood,7.472779369627507,"gender-, gender non-conforming",webpage,Gender non-conforming dancer Vinay believes you don’t have to be restricted by gender. He tackles it with friends and family and tries to put on an event to change his life forever.,Bend It Like Bollywood - BBC iPlayer,,,,,Gender non-conforming dancer Vinay believes you don’t have to be restricted by gender. He tackles it with friends and family and tries to put on an event to change his life forever.,gd-GB
